BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,OTHER SERVICES,2787340.91,2455254.36
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,SUPPLIES AND MATERIALS,732831.32,517724.52
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,EQUIPMENT,2845959.41,1475850.78
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,NETWORK SERVICES TOTALS:,6366131.64,4448829.66
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,RENT  COMMUNICATION  UTILITIES,1288708.94,359366.97
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,OTHER SERVICES,4800,1600
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,SUPPLIES AND MATERIALS,3388.5,0
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,EQUIPMENT,1685209.28,1685209.28
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,WIDE AREA NETWORK TOTALS:,2982106.72,2046176.25
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,OTHER SERVICES,236282.39,153831.94
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,SUPPLIES AND MATERIALS,13853.39,5019.4
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,EQUIPMENT,499926.55,334586.02
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,CAMPUS NETWORKING TOTALS:,750062.33,493437.36
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE TECHNICAL SUPPORT,OTHER SERVICES,375366.23,375366.23
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE TECHNICAL SUPPORT,HOUSE TECHNICAL SUPPORT TOTALS:,375366.23,375366.23
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CONSOLIDATED SERVICE CENTER,EQUIPMENT,26292.81,0
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CONSOLIDATED SERVICE CENTER,CONSOLIDATED SERVICE CENTER TOTALS:,26292.81,0
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,OTHER SERVICES,9932.68,1265
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,SUPPLIES AND MATERIALS,30080.52,4118.37
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,EQUIPMENT,221513.77,106941.43
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,CARPET SERVICES TOTALS:,261526.97,112324.8
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,TRANSPORTATION OF THINGS,1708.74,0
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,SUPPLIES AND MATERIALS,42042.32,18260.29
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,EQUIPMENT,209170.81,127675.25
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,DRAPERY & UPHOLSTERY SERVICES TOTALS:,252921.87,145935.54
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,FINISH SCHEDULE,SUPPLIES AND MATERIALS,18994.09,5338
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,FINISH SCHEDULE,EQUIPMENT,221374.22,9919
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,FINISH SCHEDULE,FINISH SCHEDULE TOTALS:,240368.31,15257
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CENTRAL WAREHOUSE/RCVG INIT,OTHER SERVICES,679858.01,292930.84
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CENTRAL WAREHOUSE/RCVG INIT,CENTRAL WAREHOUSE/RCVG INIT TOTALS:,679858.01,292930.84
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,BENEFITS AND COMPENSATION,OTHER SERVICES,48127.5,25920
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,BENEFITS AND COMPENSATION,EQUIPMENT,489370.02,0
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,BENEFITS AND COMPENSATION,BENEFITS AND COMPENSATION TOTALS:,537497.52,25920
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ACCESS INFO SYST TECH SERVICES,EQUIPMENT,152756.64,0
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ACCESS INFO SYST TECH SERVICES,ACCESS INFO SYST TECH SERVICES TOTALS:,152756.64,0
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ACCESS INFO SYST TECH SERVICES,OFFICE TOTALS:,110319168.6,39095143.9
,FISCAL YEAR 2020 HIR IMMEDIATE OFFICE,CARES SUPPLEMENTAL PL 116-136,OTHER SERVICES,45447,45447
,FISCAL YEAR 2020 HIR IMMEDIATE OFFICE,CARES SUPPLEMENTAL PL 116-136,SUPPLIES AND MATERIALS,142500.88,142185
,FISCAL YEAR 2020 HIR IMMEDIATE OFFICE,CARES SUPPLEMENTAL PL 116-136,EQUIPMENT,285980,85980
,FISCAL YEAR 2020 HIR IMMEDIATE OFFICE,CARES SUPPLEMENTAL PL 116-136,CARES SUPPLEMENTAL PL 116-136 TOTALS:,473927.88,273612
,FISCAL YEAR 2020 HIR IMMEDIATE OFFICE,CARES SUPPLEMENTAL PL 116-136,OFFICE TOTALS:,473927.88,273612
,FISCAL YEAR 2020 CUSTOMER SERVICES,CARES SUPPLEMENTAL PL 116-136,OTHER SERVICES,693.7,693.7
,FISCAL YEAR 2020 CUSTOMER SERVICES,CARES SUPPLEMENTAL PL 116-136,SUPPLIES AND MATERIALS,117,0
,FISCAL YEAR 2020 CUSTOMER SERVICES,CARES SUPPLEMENTAL PL 116-136,CARES SUPPLEMENTAL PL 116-136 TOTALS:,810.7,693.7
,FISCAL YEAR 2020 CUSTOMER SERVICES,CARES SUPPLEMENTAL PL 116-136,OFFICE TOTALS:,810.7,693.7
,FISCAL YEAR 2020 HUMAN RESOURCES,CARES SUPPLEMENTAL PL 116-136,OTHER SERVICES,79956.82,79956.82
,FISCAL YEAR 2020 HUMAN RESOURCES,CARES SUPPLEMENTAL PL 116-136,CARES SUPPLEMENTAL PL 116-136 TOTALS:,79956.82,79956.82
,FISCAL YEAR 2020 HUMAN RESOURCES,CARES SUPPLEMENTAL PL 116-136,OFFICE TOTALS:,79956.82,79956.82
,FISCAL YEAR 2020 ACQUISITIONS,CARES SUPPLEMENTAL PL 116-136,OTHER SERVICES,2541849.1,2541849.1
,FISCAL YEAR 2020 ACQUISITIONS,CARES SUPPLEMENTAL PL 116-136,CARES SUPPLEMENTAL PL 116-136 TOTALS:,2541849.1,2541849.1
,FISCAL YEAR 2020 ACQUISITIONS,CARES SUPPLEMENTAL PL 116-136,OFFICE TOTALS:,2541849.1,2541849.1
,FISCAL YEAR 2020 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,22469171.82,5800336.57
,FISCAL YEAR 2020 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,TRAVEL,32532.78,7596.64
,FISCAL YEAR 2020 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,TRANSPORTATION OF THINGS,1059.08,0
,FISCAL YEAR 2020 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,193714.95,54596.61
,FISCAL YEAR 2020 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,10166.87,3344.93
,FISCAL YEAR 2020 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,1495032.93,501018.92
,FISCAL YEAR 2020 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,325911.18,128643.72
,FISCAL YEAR 2020 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,819533.16,518428.88
,FISCAL YEAR 2020 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,25347122.77,7013966.27
,FISCAL YEAR 2020 CLERK OF THE HOUSE,FAMILY ROOM,RENT  COMMUNICATION  UTILITIES,150,0
,FISCAL YEAR 2020 CLERK OF THE HOUSE,FAMILY ROOM,SUPPLIES AND MATERIALS,6219.18,0
,FISCAL YEAR 2020 CLERK OF THE HOUSE,FAMILY ROOM,FAMILY ROOM TOTALS:,6369.18,0
,FISCAL YEAR 2020 CLERK OF THE HOUSE,FAMILY ROOM,OFFICE TOTALS:,25353491.95,7013966.27
,FISCAL YEAR 2020 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,1643512.74,447661.1
,FISCAL YEAR 2020 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,TRAVEL,7948.54,0
,FISCAL YEAR 2020 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,11258.12,4159.1
,FISCAL YEAR 2020 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,7285.1,0
,FISCAL YEAR 2020 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,26935.45,6991.8
,FISCAL YEAR 2020 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,58124.58,42025.72
,FISCAL YEAR 2020 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,12524.94,3590.42
,FISCAL YEAR 2020 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,1767589.47,504428.14
,FISCAL YEAR 2020 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,1767589.47,504428.14
,FISCAL YEAR 2020 SERGEANT AT ARMS,PERSONNEL,PERSONNEL COMPENSATION,9879752.07,2511859.31
,FISCAL YEAR 2020 SERGEANT AT ARMS,PERSONNEL,PERSONNEL TOTALS:,9879752.07,2511859.31
,FISCAL YEAR 2020 SERGEANT AT ARMS,PERSONNEL,OFFICE TOTALS:,9879752.07,2511859.31
,FISCAL YEAR 2020 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,1263033.29,318924.99
,FISCAL YEAR 2020 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,25713.66,7088.9
,FISCAL YEAR 2020 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,1333.12,67.55
,FISCAL YEAR 2020 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,33057.86,28589.86
,FISCAL YEAR 2020 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,1323137.93,354671.3
,FISCAL YEAR 2020 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,1323137.93,354671.3
,FISCAL YEAR 2020 COMPILATION OF PRECEDENTS,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,425066.64,93999.99
,FISCAL YEAR 2020 COMPILATION OF PRECEDENTS,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,425066.64,93999.99
,FISCAL YEAR 2020 COMPILATION OF PRECEDENTS,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,425066.64,93999.99
,FISCAL YEAR 2020 TECHNICAL ASSISTANTS,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,581107.08,145276.77
,FISCAL YEAR 2020 TECHNICAL ASSISTANTS,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,581107.08,145276.77
,FISCAL YEAR 2020 TECHNICAL ASSISTANTS,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,581107.08,145276.77
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,TRAINING  PERSONNEL & DEVELOP,TRAVEL,22.8,0
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,TRAINING  PERSONNEL & DEVELOP,OTHER SERVICES,13968.21,2629
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,TRAINING  PERSONNEL & DEVELOP,TRAINING  PERSONNEL & DEVELOP TOTALS:,13991.01,2629
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,PERSONNEL COMPENSATION,398976.26,100572.51
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,20575.2,5620.86
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,PRINTING AND REPRODUCTION,89.85,29.95
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,OTHER SERVICES,60448.35,18009.29
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,SUPPLIES AND MATERIALS,4322.07,809.25
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,EQUIPMENT,36733.62,29515.09
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,ADMIN AND OPS TOTALS:,521145.35,154556.95
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,PERSONNEL COMPENSATION,2755999.04,665857.47
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,TRAVEL,43.28,43.28
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,RENT  COMMUNICATION  UTILITIES,20,20
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,PRINTING AND REPRODUCTION,2435,0
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,OTHER SERVICES,33147.84,33147.84
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,SUPPLIES AND MATERIALS,409.04,267.12
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,EQUIPMENT,23400,0
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,AUDIT  ADVISORY  INVESTIGATION TOTALS:,2815454.2,699335.71
,FISCAL YEAR 2020 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,OFFICE TOTALS:,3350590.56,856521.66
,FISCAL YEAR 2020 DIVERSITY & INCLUSION,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,174015.6,109088.87
,FISCAL YEAR 2020 DIVERSITY & INCLUSION,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,174015.6,109088.87
,FISCAL YEAR 2020 DIVERSITY & INCLUSION,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,2463.16,1337.54
,FISCAL YEAR 2020 DIVERSITY & INCLUSION,ADMIN AND OPS,OTHER SERVICES,17055,17055
,FISCAL YEAR 2020 DIVERSITY & INCLUSION,ADMIN AND OPS,SUPPLIES AND MATERIALS,11172.36,11172.36
,FISCAL YEAR 2020 DIVERSITY & INCLUSION,ADMIN AND OPS,ADMIN AND OPS TOTALS:,30690.52,29564.9
,FISCAL YEAR 2020 DIVERSITY & INCLUSION,ADMIN AND OPS,OFFICE TOTALS:,204706.12,138653.77
,FISCAL YEAR 2020 WHISTLEBLOWER OMBUDSMAN,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,114145.23,42102.75
,FISCAL YEAR 2020 WHISTLEBLOWER OMBUDSMAN,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,114145.23,42102.75
,FISCAL YEAR 2020 WHISTLEBLOWER OMBUDSMAN,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,922.09,327.42
,FISCAL YEAR 2020 WHISTLEBLOWER OMBUDSMAN,ADMIN AND OPS,PRINTING AND REPRODUCTION,182.5,0
,FISCAL YEAR 2020 WHISTLEBLOWER OMBUDSMAN,ADMIN AND OPS,OTHER SERVICES,49.95,49.95
,FISCAL YEAR 2020 WHISTLEBLOWER OMBUDSMAN,ADMIN AND OPS,SUPPLIES AND MATERIALS,1427.98,462.54
,FISCAL YEAR 2020 WHISTLEBLOWER OMBUDSMAN,ADMIN AND OPS,EQUIPMENT,4369.35,4369.35
,FISCAL YEAR 2020 WHISTLEBLOWER OMBUDSMAN,ADMIN AND OPS,ADMIN AND OPS TOTALS:,6951.87,5209.26
,FISCAL YEAR 2020 WHISTLEBLOWER OMBUDSMAN,ADMIN AND OPS,OFFICE TOTALS:,121097.1,47312.01
,FISCAL YEAR 2020 LAW REVISION COUNSEL,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,5467.04,1436.02
,FISCAL YEAR 2020 LAW REVISION COUNSEL,ADMIN AND OPS,OTHER SERVICES,306117.52,277512.82
,FISCAL YEAR 2020 LAW REVISION COUNSEL,ADMIN AND OPS,SUPPLIES AND MATERIALS,26218.65,9802.01
,FISCAL YEAR 2020 LAW REVISION COUNSEL,ADMIN AND OPS,EQUIPMENT,32570.21,6001
,FISCAL YEAR 2020 LAW REVISION COUNSEL,ADMIN AND OPS,ADMIN AND OPS TOTALS:,370373.42,294751.85
,FISCAL YEAR 2020 LAW REVISION COUNSEL,USC CODIFICATION & MAINTENANCE,PERSONNEL COMPENSATION,2120229.79,541075.08
,FISCAL YEAR 2020 LAW REVISION COUNSEL,USC CODIFICATION & MAINTENANCE,USC CODIFICATION & MAINTENANCE TOTALS:,2120229.79,541075.08
,FISCAL YEAR 2020 LAW REVISION COUNSEL,USC CODIFICATION & MAINTENANCE,OFFICE TOTALS:,2490603.21,835826.93
,FISCAL YEAR 2020 LEGISLATIVE COUNSEL,ADMIN AND OPS,TRAVEL,38.86,0
,FISCAL YEAR 2020 LEGISLATIVE COUNSEL,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,51486.79,15970.75
,FISCAL YEAR 2020 LEGISLATIVE COUNSEL,ADMIN AND OPS,PRINTING AND REPRODUCTION,119.8,0
,FISCAL YEAR 2020 LEGISLATIVE COUNSEL,ADMIN AND OPS,OTHER SERVICES,297216.7,135558.15
,FISCAL YEAR 2020 LEGISLATIVE COUNSEL,ADMIN AND OPS,SUPPLIES AND MATERIALS,46695.18,27727.11
,FISCAL YEAR 2020 LEGISLATIVE COUNSEL,ADMIN AND OPS,EQUIPMENT,88930.94,3233.76
,FISCAL YEAR 2020 LEGISLATIVE COUNSEL,ADMIN AND OPS,ADMIN AND OPS TOTALS:,484488.27,182489.77
,FISCAL YEAR 2020 LEGISLATIVE COUNSEL,DRAFTING LEGISLATION,PERSONNEL COMPENSATION,9579763.37,2479490.93
,FISCAL YEAR 2020 LEGISLATIVE COUNSEL,DRAFTING LEGISLATION,DRAFTING LEGISLATION TOTALS:,9579763.37,2479490.93
,FISCAL YEAR 2020 LEGISLATIVE COUNSEL,DRAFTING LEGISLATION,OFFICE TOTALS:,10064251.64,2661980.7
,FISCAL YEAR 2020 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,290566.63,46266.63
,FISCAL YEAR 2020 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,TRAVEL,325.39,325.39
,FISCAL YEAR 2020 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,9275.23,3195.92
,FISCAL YEAR 2020 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,5330,5330
,FISCAL YEAR 2020 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,636.11,-282.64
,FISCAL YEAR 2020 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,133280.17,63237.25
,FISCAL YEAR 2020 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,4813.3,4813.3
,FISCAL YEAR 2020 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,444226.83,122885.85
,FISCAL YEAR 2020 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,444226.83,122885.85
,FISCAL YEAR 2020 ENTERPRISE ARCHITECTURE,CLOUD SERVICES,EQUIPMENT,35850.68,35850.68
,FISCAL YEAR 2020 ENTERPRISE ARCHITECTURE,CLOUD SERVICES,CLOUD SERVICES TOTALS:,35850.68,35850.68
,FISCAL YEAR 2020 ENTERPRISE ARCHITECTURE,CLOUD SERVICES,OFFICE TOTALS:,35850.68,35850.68
,FISCAL YEAR 2020 CLERK OF THE HOUSE,LIMS,OTHER SERVICES,523285.48,51723.53
,FISCAL YEAR 2020 CLERK OF THE HOUSE,LIMS,EQUIPMENT,217143.3,125448.23
,FISCAL YEAR 2020 CLERK OF THE HOUSE,LIMS,LIMS TOTALS:,740428.78,177171.76
,FISCAL YEAR 2020 CLERK OF THE HOUSE,ELECTRONIC VOTING SYSTEM,SUPPLIES AND MATERIALS,3595.03,0
,FISCAL YEAR 2020 CLERK OF THE HOUSE,ELECTRONIC VOTING SYSTEM,EQUIPMENT,181200.05,47000
,FISCAL YEAR 2020 CLERK OF THE HOUSE,ELECTRONIC VOTING SYSTEM,ELECTRONIC VOTING SYSTEM TOTALS:,184795.08,47000
,FISCAL YEAR 2020 CLERK OF THE HOUSE,CANNON RENEWAL,OTHER SERVICES,31167,0
,FISCAL YEAR 2020 CLERK OF THE HOUSE,CANNON RENEWAL,CANNON RENEWAL TOTALS:,31167,0
,FISCAL YEAR 2020 CLERK OF THE HOUSE,CANNON RENEWAL,OFFICE TOTALS:,956390.86,224171.76
,FISCAL YEAR 2020 ACQUISITIONS,MAIL AND PACKAGE DELIVERY,RENT  COMMUNICATION  UTILITIES,78447.4,28614.04
,FISCAL YEAR 2020 ACQUISITIONS,MAIL AND PACKAGE DELIVERY,OTHER SERVICES,3149137.97,961357.75
,FISCAL YEAR 2020 ACQUISITIONS,MAIL AND PACKAGE DELIVERY,EQUIPMENT,310165.54,98497.92
,FISCAL YEAR 2020 ACQUISITIONS,MAIL AND PACKAGE DELIVERY,MAIL AND PACKAGE DELIVERY TOTALS:,3537750.91,1088469.71
,FISCAL YEAR 2020 ACQUISITIONS,DIGITAL MAIL,OTHER SERVICES,2421013.21,742268.85
,FISCAL YEAR 2020 ACQUISITIONS,DIGITAL MAIL,DIGITAL MAIL TOTALS:,2421013.21,742268.85
,FISCAL YEAR 2020 ACQUISITIONS,DIGITAL MAIL,OFFICE TOTALS:,5958764.12,1830738.56
,FISCAL YEAR 2020 SERGEANT AT ARMS,NON - PERSONNEL,TRAVEL,11521.88,-10474.78
,FISCAL YEAR 2020 SERGEANT AT ARMS,NON - PERSONNEL,RENT  COMMUNICATION  UTILITIES,14.85,0
,FISCAL YEAR 2020 SERGEANT AT ARMS,NON - PERSONNEL,OTHER SERVICES,57620.12,-26627.5
,FISCAL YEAR 2020 SERGEANT AT ARMS,NON - PERSONNEL,NON - PERSONNEL TOTALS:,69156.85,-37102.28
,FISCAL YEAR 2020 SERGEANT AT ARMS,OVERSEAS TRVL CAP POLICE REIMB,TRAVEL,43561.28,43561.28
,FISCAL YEAR 2020 SERGEANT AT ARMS,OVERSEAS TRVL CAP POLICE REIMB,OVERSEAS TRVL CAP POLICE REIMB TOTALS:,43561.28,43561.28
,FISCAL YEAR 2020 SERGEANT AT ARMS,MEMB DSTOFF SECUR ASSMNT OTH,OTHER SERVICES,62.7,0
,FISCAL YEAR 2020 SERGEANT AT ARMS,MEMB DSTOFF SECUR ASSMNT OTH,EQUIPMENT,69794.21,0
,FISCAL YEAR 2020 SERGEANT AT ARMS,MEMB DSTOFF SECUR ASSMNT OTH,MEMB DSTOFF SECUR ASSMNT OTH TOTALS:,69856.91,0
,FISCAL YEAR 2020 SERGEANT AT ARMS,MEMB DSTOFF SECUR ASSMNT OTH,OFFICE TOTALS:,182575.04,6459
,FISCAL YEAR 2020 SERGEANT AT ARMS,PERSONNEL,PERSONNEL COMPENSATION,2328277.41,582995.82
,FISCAL YEAR 2020 SERGEANT AT ARMS,PERSONNEL,PERSONNEL TOTALS:,2328277.41,582995.82
,FISCAL YEAR 2020 SERGEANT AT ARMS,NON - PERSONNEL,TRAVEL,74679.14,11149.06
,FISCAL YEAR 2020 SERGEANT AT ARMS,NON - PERSONNEL,RENT  COMMUNICATION  UTILITIES,148107.81,38988.82
,FISCAL YEAR 2020 SERGEANT AT ARMS,NON - PERSONNEL,PRINTING AND REPRODUCTION,5874.21,516.25
,FISCAL YEAR 2020 SERGEANT AT ARMS,NON - PERSONNEL,OTHER SERVICES,399965.9,242033.61
,FISCAL YEAR 2020 SERGEANT AT ARMS,NON - PERSONNEL,SUPPLIES AND MATERIALS,200567.24,74836.93
,FISCAL YEAR 2020 SERGEANT AT ARMS,NON - PERSONNEL,EQUIPMENT,167680.37,5271.76
,FISCAL YEAR 2020 SERGEANT AT ARMS,NON - PERSONNEL,NON - PERSONNEL TOTALS:,996874.67,372796.43
,FISCAL YEAR 2020 SERGEANT AT ARMS,CARES SUPPLEMENTAL PL 116-136,SUPPLIES AND MATERIALS,3710,3710
,FISCAL YEAR 2020 SERGEANT AT ARMS,CARES SUPPLEMENTAL PL 116-136,EQUIPMENT,47918.9,47918.9
,FISCAL YEAR 2020 SERGEANT AT ARMS,CARES SUPPLEMENTAL PL 116-136,CARES SUPPLEMENTAL PL 116-136 TOTALS:,51628.9,51628.9
,FISCAL YEAR 2020 SERGEANT AT ARMS,CONVENTIONS,TRAVEL,1588.73,0
